Filename fn1 f0 fs iferror ifmethod rho p r g arfunc automodel dq pq nramp causality f0 ifquality ifwinsize OQ1 OQ2 NAQ AQ ClQ OQa QOQ SQ1 SQ2 DH12 PSP HRF 
0.mat 0 181.122989399802210 16000 30.365322227267367 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 181.122989399802210  10.719937500000000 NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.087380923445203 NaN -5.271275784542679 
1.mat 1 182.839691980422770 16000 14.244629474584324 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 182.839691980422770  7.565000000000000 NaN NaN NaN NaN NaN NaN NaN NaN NaN 10.301005700631180 NaN -1.610909002802645 
10.mat 10 191.359077912924080 16000 1.022828822605865 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 191.359077912924080  2.784937500000000 0.554826607302030 0.504387943738915 0.076334510362934 0.001215256386080 0.229893731182067 0.230462528773150 0.331781205934474 1.426102290271574 1.202736871313388 -14.211759668244797 0.175030793508643 1.526697385573901 
100.mat 100 193.226514785539930 16000 3.030141569006074 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 193.226514785539930  3.284937500000000 0.558081289078724 0.508464603920474 0.088068936953055 0.001395814119493 0.245503750917563 0.263617807872220 0.312706644306642 1.282509557116630 1.078755344726944 9.871474014113630 0.189199293878085 -0.323805058512041 
11.mat 11 188.286064000770120 16000 1.026929353948293 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 188.286064000770120  3.049937500000000 0.559959333398166 0.510032909779715 0.094778039846333 0.001502425498692 0.256455748628383 0.257477954453192 0.326516068800421 1.190486126769569 0.999961235892305 9.801764499795741 0.180544929495603 1.425267845330797 
12.mat 12 97.835960270870444 16000 1.237524658790492 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 97.835960270870444  3.179937500000000 0.569916873004579 0.519992723615554 0.120296020375083 0.001867900940919 0.255441244729489 0.305825370099148 0.332525525430512 1.250047554739553 1.049655404313234 3.388407015703741 0.135447886913737 -0.075231182693688 
13.mat 13 186.026068403381230 16000 0.985491631507706 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 186.026068403381230  3.249937500000000 0.540320705944594 0.490002534710847 0.096768903822765 0.001585040932440 0.245341001835213 0.259625743543404 0.317155180154743 1.212715365677388 1.009469833122562 9.543224188001982 0.174806945183161 0.231926555022329 
14.mat 14 185.461314543101200 16000 33.009580025619705 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 185.461314543101200  6.494937500000000 NaN NaN NaN NaN NaN NaN NaN NaN NaN 16.087056770088424 NaN -3.475380936572583 
15.mat 15 180.021077273598680 16000 2.876283768705091 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 180.021077273598680  3.264937500000000 0.544614222123338 0.495686539889453 0.113320723929974 0.001881819943012 0.238217419258767 0.320045001853737 0.316551557226965 1.345927290144241 1.103516318665390 -1.419358835364001 0.165233043828313 1.716770324213518 
16.mat 16 185.664620368630750 16000 0.925001896019484 qcp 0.990000000000000 10 10 2 dap 0 0.700000000000000 0.100000000000000 7 causal 185.664620368630750  3.769937500000000 0.561712090916238 0.510865438631041 0.084874219170483 0.001337786957644 0.231469993495290 0.244457096537766 0.325745588595960 1.441208678080203 1.177267897451034 6.246512962685330 0.192581187353341 0.573661368619771 
